exp_id,fold,spearman,pearson,auroc,aupr
A1,0,0.7956214118104826,0.8101505964598618,,
A1,1,0.8237965867102848,0.8312229674398386,,
A1,2,0.7844273578230658,0.806946669351857,,
A1,3,0.8169720934553965,0.8346968204773997,,
A1,4,0.8103342758138652,0.8328437462398305,,
A2,0,,,0.97472647702407,0.28716916639658663
A2,1,,,0.8935303776683086,0.022497159688657568
A2,2,,,0.9863919761452968,0.5399659863945578
A2,3,,,0.947901325478645,0.14765404013778524
A2,4,,,0.8919720600899436,0.13102270307531663
B1,0,0.8023923696304561,0.8130096483874133,,
B1,1,0.823842141401923,0.8246688037402855,,
B1,2,0.7843495732133088,0.7996774047342083,,
B1,3,0.8194456771876725,0.8315523805489855,,
B1,4,0.8229999229617754,0.8367411465458979,,
B2,0,,,0.6848468271334792,0.011816878538047394
B2,1,,,0.754022988505747,0.28135505156145457
B2,2,,,0.9417186229330442,0.04311303109432931
B2,3,,,0.720974472263132,0.011474713166662296
B2,4,,,0.7524000893056486,0.060904275275904626
MTL-Full,0,0.8108713528233202,0.8246221566693119,0.6340262582056893,0.00842042498902478
MTL-Full,1,0.838424642020473,0.8369791740952048,0.8130706075533661,0.038906981842639195
MTL-Full,2,0.7959439984672706,0.8115173440903348,0.9757657901870426,0.056869776324182164
MTL-Full,3,0.8356436163838548,0.851774908114699,0.8009327442317133,0.02081115188056873
MTL-Full,4,0.7814090098395079,0.7916506557675228,0.8330622269001371,0.0739375279847161
ABL1,0,0.6845202547604224,0.6956315550037123,0.6967177242888403,0.022271245224855362
ABL1,1,0.6678429902600522,0.6648416494705389,0.6170114942528735,0.03795131753576224
ABL1,2,0.6427992563114049,0.6663182338922674,0.9500677690431011,0.07834004780931896
ABL1,3,0.6568784239531081,0.6589632520049711,0.7353951890034365,0.011124865134007749
ABL1,4,0.6540791764897832,0.6543688342588005,0.821037859216024,0.04920729876802015
ABL2,0,0.7557342479830829,0.7676604521059327,0.6470459518599563,0.008074793173146393
ABL2,1,0.8052986067457731,0.8103237468097275,0.7961904761904761,0.024374690662651747
ABL2,2,0.7810527140058718,0.802101509389684,0.9606397397668744,0.07524570934830918
ABL2,3,0.7959069504581073,0.816515164486675,0.8200171821305842,0.013204955988024774
ABL2,4,0.7094571416029539,0.7147025046141225,0.8335725448920358,0.057963355049444054
ABL3,0,0.7856160208882731,0.8027479158142055,0.6926148796498905,0.009093403330029936
ABL3,1,0.8151788052203611,0.8207549508325984,0.8147126436781609,0.10539185500496095
ABL3,2,0.7867026578447126,0.7984739693564114,0.9687720249390078,0.060591213925453205
ABL3,3,0.8138178292445171,0.8278692458364186,0.8036941580756014,0.028746687113243373
ABL3,4,0.8169797076111589,0.8378252393201554,0.8850508723248174,0.09057808395105707
